alter,bewohnertyp,absolute zahlen,"vertrauens-intervall : 
± (in %)",anteil in %,"vertrauens-
intervall : 
± (in %-pkte)",datenqualität,sheet_type
15,Mieter oder Genossenschafter,40110.0,6.2,46.0,2.0,,bewohnertyp
15,Eigentümer,41551.0,5.6,47.7,2.0,,bewohnertyp
15,Andere Situation2),5534.0,17.1,6.3,1.0,,bewohnertyp
15,Total,87196.0,4.0,100.0,,,bewohnertyp
16,Mieter oder Genossenschafter,41074.0,6.5,47.0,2.1,,bewohnertyp
16,Eigentümer,41045.0,5.6,47.0,2.1,,bewohnertyp
16,Andere Situation2),5240.0,16.4,6.0,1.0,,bewohnertyp
16,Total,87359.0,4.1,100.0,,,bewohnertyp
17,Mieter oder Genossenschafter,38459.0,6.3,46.2,2.1,,bewohnertyp
17,Eigentümer,38888.0,5.8,46.7,2.0,,bewohnertyp
17,Andere Situation2),5870.0,15.0,7.1,1.0,,bewohnertyp
17,Total,83217.0,4.1,100.0,,,bewohnertyp
18,Mieter oder Genossenschafter,38350.0,6.8,42.8,2.1,,bewohnertyp
18,Eigentümer,42400.0,5.9,47.3,2.1,,bewohnertyp
18,Andere Situation2),8874.0,13.5,9.9,1.3,,bewohnertyp
18,Total,89623.0,4.2,100.0,,,bewohnertyp
19,Mieter oder Genossenschafter,42138.0,6.8,44.6,2.2,,bewohnertyp
19,Eigentümer,42233.0,6.2,44.7,2.2,,bewohnertyp
19,Andere Situation2),10112.0,13.0,10.7,1.3,,bewohnertyp
19,Total,94483.0,4.3,100.0,,,bewohnertyp
20,Mieter oder Genossenschafter,41566.0,7.0,45.2,2.3,,bewohnertyp
20,Eigentümer,39081.0,6.6,42.5,2.2,,bewohnertyp
20,Andere Situation2),11321.0,12.4,12.3,1.4,,bewohnertyp
20,Total,91968.0,4.5,100.0,,,bewohnertyp
21,Mieter oder Genossenschafter,44785.0,6.5,47.9,2.2,,bewohnertyp
21,Eigentümer,35101.0,7.0,37.5,2.1,,bewohnertyp
21,Andere Situation2),13682.0,11.6,14.6,1.6,,bewohnertyp
21,Total,93569.0,4.4,100.0,,,bewohnertyp
22,Mieter oder Genossenschafter,44481.0,6.6,49.7,2.3,,bewohnertyp
22,Eigentümer,31123.0,7.3,34.8,2.1,,bewohnertyp
22,Andere Situation2),13943.0,11.5,15.6,1.6,,bewohnertyp
22,Total,89547.0,4.5,100.0,,,bewohnertyp
23,Mieter oder Genossenschafter,48787.0,5.9,55.4,2.2,,bewohnertyp
23,Eigentümer,28044.0,7.7,31.8,2.0,,bewohnertyp
23,Andere Situation2),11246.0,12.3,12.8,1.5,,bewohnertyp
23,Total,88077.0,4.4,100.0,,,bewohnertyp
24,Mieter oder Genossenschafter,55660.0,5.6,60.3,2.1,,bewohnertyp
24,Eigentümer,25444.0,8.0,27.6,1.9,,bewohnertyp
24,Andere Situation2),11171.0,12.4,12.1,1.4,,bewohnertyp
24,Total,92274.0,4.3,100.0,,,bewohnertyp
25,Mieter oder Genossenschafter,69985.0,5.0,66.2,2.0,,bewohnertyp
25,Eigentümer,23949.0,9.2,22.7,1.8,,bewohnertyp
25,Andere Situation2),11709.0,13.5,11.1,1.4,,bewohnertyp
25,Total,105644.0,4.2,100.0,,,bewohnertyp
26,Mieter oder Genossenschafter,76017.0,4.8,71.9,1.9,,bewohnertyp
26,Eigentümer,18214.0,10.4,17.2,1.6,,bewohnertyp
26,Andere Situation2),11437.0,13.7,10.8,1.4,,bewohnertyp
26,Total,105669.0,4.1,100.0,,,bewohnertyp
27,Mieter oder Genossenschafter,86980.0,4.3,79.4,1.7,,bewohnertyp
27,Eigentümer,14873.0,12.2,13.6,1.5,,bewohnertyp
27,Andere Situation2),7740.0,15.8,7.1,1.1,,bewohnertyp
27,Total,109594.0,3.9,100.0,,,bewohnertyp
28,Mieter oder Genossenschafter,93821.0,4.3,80.7,1.6,,bewohnertyp
28,Eigentümer,15079.0,10.8,13.0,1.3,,bewohnertyp
28,Andere Situation2),7335.0,16.6,6.3,1.0,,bewohnertyp
28,Total,116235.0,3.9,100.0,,,bewohnertyp
29,Mieter oder Genossenschafter,93164.0,4.1,82.4,1.5,,bewohnertyp
29,Eigentümer,13749.0,11.4,12.2,1.3,,bewohnertyp
29,Andere Situation2),6210.0,18.3,5.5,1.0,,bewohnertyp
29,Total,113123.0,3.8,100.0,,,bewohnertyp
30,Mieter oder Genossenschafter,96717.0,4.0,84.2,1.4,,bewohnertyp
30,Eigentümer,13326.0,11.6,11.6,1.3,,bewohnertyp
30,Andere Situation2),4875.0,19.6,4.2,0.8,,bewohnertyp
